cve_id,cvss,severity_label,epss,affected_system,description,criticality,business_impact,dependency_score,downtime_cost,effort,regulatory,customer_impact,maintenance_window,rollback_risk,downtime_sensitivity,cascade_risk,Expected Loss,Priority Score,Recommended Action,Recommended Patch Window,Explanation,risk_score,criticality_multiplier,regulatory_multiplier,customer_multiplier,rollback_multiplier,downtime_sensitivity_multiplier,business_score,dependency_factor,disruption_cost,priority_score,expected_loss,recommended_action,recommended_patch_window,explanation,score_delta
CVE-2024-3400,10.0,Critical,1.0,Payment API,OS Command injection in firewalls protecting the payment zone.,High,100,5,90,2,PCI,High,Sun 2-4 AM,Medium,High,0.0,940.0,51.09,Patch immediately,Emergency change window,"CVE-2024-3400 is prioritized for Payment API because it has CVSS 10.0, EPSS 0.94, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",2.0,1.6,1.1,1.3,1.1,1.25,0.0022880000000000005,5.0,2.012375,0.8656942795135337,1000.0,Patch immediately,Emergency/24h window,"CVE-2024-3400 is prioritized for Payment API because it combines CVSS 10.0, exploit probability 1.00, High system criticality, and dependency factor 5.00. Recommended action: Patch immediately.",0.025970828385406097
CVE-2024-24919,8.6,High,0.88,Login Service,Information disclosure allowing unauthenticated read of system files.,High,77,4,71,1,GDPR,High,Sat 1-3 AM,Low,High,0.0,582.74,32.37,Patch immediately,Emergency change window,"CVE-2024-24919 is prioritized for Login Service because it has CVSS 8.6, EPSS 0.88, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.6167999999999998,1.6,1.1,1.3,1.0,1.25,0.0017617600000000002,4.0,1.008875,0.8610665473780669,497.97,Patch immediately,Emergency/24h window,"CVE-2024-24919 is prioritized for Login Service because it combines CVSS 8.6, exploit probability 0.88, High system criticality, and dependency factor 4.00. Recommended action: Patch immediately.",0.0
CVE-2024-1709,10.0,Critical,0.98,Login Service,Auth bypass allows creating admin accounts. Critical for Login service.,High,81,4,75,2,GDPR,High,Sat 1-3 AM,Low,High,0.0,793.8,41.24,Patch immediately,Emergency change window,"CVE-2024-1709 is prioritized for Login Service because it has CVSS 10.0, EPSS 0.98, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.98,1.6,1.1,1.3,1.0,1.25,0.0018532800000000003,4.0,2.009375,0.5557638946242038,641.52,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-1709 is prioritized for Login Service because it combines CVSS 10.0, exploit probability 0.98, High system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2023-44487,7.5,High,0.65,Payment API,"""Rapid Reset"" DDoS; can cripple the Payment API's availability.",High,102,5,85,2,PCI,High,Sun 2-4 AM,Medium,High,0.0,497.25,28.58,Patch in next maintenance window,Sun 2-4 AM,"CVE-2023-44487 is prioritized for Payment API because it has CVSS 7.5, EPSS 0.65, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a patch in next maintenance window.",1.2374999999999998,1.6,1.1,1.3,1.1,1.25,0.0023337600000000003,5.0,2.0116875,0.5464522667891761,631.12,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2023-44487 is prioritized for Payment API because it combines CVSS 7.5, exploit probability 0.65, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-4577,9.8,Critical,0.95,Payment API,RCE on PHP; widely exploited in the wild. High risk for public APIs.,High,97,5,95,3,PCI,High,Sun 2-4 AM,Medium,High,0.0,903.07,46.08,Patch immediately,Emergency change window,"CVE-2024-4577 is prioritized for Payment API because it has CVSS 9.8, EPSS 0.95, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",1.911,1.6,1.1,1.3,1.1,1.25,0.0022193600000000005,5.0,3.0130625,0.5353791522685656,926.83,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-4577 is prioritized for Payment API because it combines CVSS 9.8, exploit probability 0.95, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-20419,9.9,Critical,0.92,Login Service,Static password bypass; allows any user password to be reset.,High,77,4,69,2,GDPR,High,Sat 1-3 AM,Low,High,0.0,701.32,39.51,Patch immediately,Emergency change window,"CVE-2024-20419 is prioritized for Login Service because it has CVSS 9.9, EPSS 0.92, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.9007999999999998,1.6,1.1,1.3,1.0,1.25,0.0017617600000000002,4.0,2.008625,0.5072782006747723,585.45,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-20419 is prioritized for Login Service because it combines CVSS 9.9, exploit probability 0.92, High system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-21887,9.1,Critical,0.89,Payment API,High-exploit command injection in web-facing management interfaces.,High,97,5,89,3,PCI,High,Sun 2-4 AM,Medium,High,0.0,785.6,42.7,Patch immediately,Emergency change window,"CVE-2024-21887 is prioritized for Payment API because it has CVSS 9.1, EPSS 0.89, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",1.7199,1.6,1.1,1.3,1.1,1.25,0.0022193600000000005,5.0,3.0122375,0.4819054699987158,834.15,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-21887 is prioritized for Payment API because it combines CVSS 9.1, exploit probability 0.89, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-38077,9.8,Critical,0.92,Login Service,Critical RCE in Windows components often used in enterprise auth.,High,81,4,71,3,GDPR,High,Sat 1-3 AM,Low,High,0.0,730.3,39.48,Patch immediately,Emergency change window,"CVE-2024-38077 is prioritized for Login Service because it has CVSS 9.8, EPSS 0.92, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately.",1.8816000000000002,1.6,1.1,1.3,1.0,1.25,0.0018532800000000003,4.0,3.008875,0.35239136994007914,609.64,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-38077 is prioritized for Login Service because it combines CVSS 9.8, exploit probability 0.92, High system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-8963,9.6,Critical,0.88,Database,Path traversal/RCE in DB admin tools; leads to full data compromise.,High,90,5,85,4,PCI,High,Sun 1-3 AM,High,High,0.0,760.32,42.71,Patch immediately,Emergency change window,"CVE-2024-8963 is prioritized for Database because it has CVSS 9.6, EPSS 0.88, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately.",1.8047999999999997,1.6,1.1,1.3,1.25,1.25,0.0020592,5.0,4.01328125,0.3520299128673957,812.16,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-8963 is prioritized for Database because it combines CVSS 9.6, exploit probability 0.88, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-1597,9.8,Critical,0.35,Database,SQL injection in widely used Java DB driver for PostgreSQL.,High,90,5,83,3,PCI,High,Sun 1-3 AM,High,High,0.0,308.7,17.95,Prioritize for scheduled patching,Next 7 days,"CVE-2024-1597 is prioritized for Database because it has CVSS 9.8, EPSS 0.35, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a prioritize for scheduled patching.",1.3230000000000002,1.6,1.1,1.3,1.25,1.25,0.0020592,5.0,3.01296875,0.3439045851237952,595.35,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-1597 is prioritized for Database because it combines CVSS 9.8, exploit probability 0.35, High system criticality, and dependency factor 5.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2024-38112,7.5,High,0.68,Login Service,"Used in ""Mamba"" style attacks to spoof login windows.",High,76,4,74,2,GDPR,High,Sat 1-3 AM,Low,High,0.0,387.6,20.4,Patch in next maintenance window,Sat 1-3 AM,"CVE-2024-38112 is prioritized for Login Service because it has CVSS 7.5, EPSS 0.68, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch in next maintenance window.",1.2600000000000002,1.6,1.1,1.3,1.0,1.25,0.0017388800000000004,4.0,2.00925,0.3318466300888363,383.04,Patch in next maintenance window,Weekend or low-traffic approved window,"CVE-2024-38112 is prioritized for Login Service because it combines CVSS 7.5, exploit probability 0.68, High system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2023-46604,9.8,Critical,0.91,Core API,OpenWire protocol flaw; frequently used for ransomware delivery.,Medium,56,4,50,2,,Medium,Sat 3-5 AM,Medium,Medium,0.0,499.41,38.42,Patch immediately,Emergency change window,"CVE-2023-46604 is prioritized for Core API because it has CVSS 9.8, EPSS 0.91, affects a medium-criticality system, carries medium cascade risk, and maps to a patch immediately.",1.8718000000000004,1.25,1.1,1.15,1.1,1.1,0.0008854999999999999,4.0,2.00605,0.2512361593201989,419.28,Patch in next maintenance window,Sat 3-5 AM,"CVE-2023-46604 is prioritized for Core API because it combines CVSS 9.8, exploit probability 0.91, Medium system criticality, and dependency factor 4.00. Recommended action: Patch in next maintenance window.",0.0
CVE-2023-50164,9.8,Critical,0.62,Core API,Path traversal allows attackers to upload malicious shells.,Medium,65,4,52,2,,Medium,Sat 3-5 AM,Medium,Medium,0.0,394.94,29.25,Patch in next maintenance window,Sat 3-5 AM,"CVE-2023-50164 is prioritized for Core API because it has CVSS 9.8, EPSS 0.62, affects a medium-criticality system, carries medium cascade risk, and maps to a patch in next maintenance window.",1.5876000000000003,1.25,1.1,1.15,1.1,1.1,0.0010278124999999999,4.0,2.006292,0.24732250505456205,412.78,Monitor and defer with controls,Sat 3-5 AM,"CVE-2023-50164 is prioritized for Core API because it combines CVSS 9.8, exploit probability 0.62, Medium system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-40711,9.8,Critical,0.25,Database,RCE in backup agents; critical for database integrity.,High,88,5,80,4,PCI,High,Sun 1-3 AM,High,High,0.0,215.6,12.83,Prioritize for scheduled patching,Next 7 days,"CVE-2024-40711 is prioritized for Database because it has CVSS 9.8, EPSS 0.25, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a prioritize for scheduled patching.",1.225,1.6,1.1,1.3,1.25,1.25,0.0020134400000000005,5.0,4.0125,0.23365112297405727,539.0,Monitor and defer with controls,Weekend or low-traffic approved window,"CVE-2024-40711 is prioritized for Database because it combines CVSS 9.8, exploit probability 0.25, High system criticality, and dependency factor 5.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-43451,6.5,Medium,0.42,Payment API,Interaction-less credential theft; high risk for internal APIs.,High,104,5,94,4,PCI,High,Sun 2-4 AM,Medium,High,0.0,283.92,14.49,Prioritize for scheduled patching,Next 7 days,"CVE-2024-43451 is prioritized for Payment API because it has CVSS 6.5, EPSS 0.42, affects a high-criticality system, carries low cascade risk, has PCI implications, and maps to a prioritize for scheduled patching.",0.9229999999999999,1.6,1.1,1.3,1.1,1.25,0.00237952,5.0,4.012925,0.20804715150596675,479.96,Monitor and defer with controls,Weekend or low-traffic approved window,"CVE-2024-43451 is prioritized for Payment API because it combines CVSS 6.5, exploit probability 0.42, High system criticality, and dependency factor 5.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-29849,9.8,Critical,0.12,Login Service,Unauthenticated RCE in backup/auth service agents.,High,81,4,70,3,GDPR,High,Sat 1-3 AM,Low,High,0.0,95.26,5.22,Monitor and defer with controls,Next 30 days,"CVE-2024-29849 is prioritized for Login Service because it has CVSS 9.8, EPSS 0.12, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a monitor and defer with controls.",1.0976000000000001,1.6,1.1,1.3,1.0,1.25,0.0018532800000000003,4.0,3.00875,0.20556578675569614,355.62,Monitor and defer with controls,Weekend or low-traffic approved window,"CVE-2024-29849 is prioritized for Login Service because it combines CVSS 9.8, exploit probability 0.12, High system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-22354,7.0,High,0.05,Database,XXE injection in database connectors; could expose local files.,High,93,5,86,3,PCI,High,Sun 1-3 AM,High,High,0.0,32.55,1.83,Monitor and defer with controls,Next 30 days,"CVE-2024-22354 is prioritized for Database because it has CVSS 7.0, EPSS 0.05, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a monitor and defer with controls.",0.735,1.6,1.1,1.3,1.25,1.25,0.0021278400000000006,5.0,3.0134375,0.19741175552473647,341.78,Monitor and defer with controls,Weekend or low-traffic approved window,"CVE-2024-22354 is prioritized for Database because it combines CVSS 7.0, exploit probability 0.05, High system criticality, and dependency factor 5.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-1086,7.8,High,0.45,Database,Use-after-free in netfilter; allows local users to gain root on DB nodes.,High,94,5,87,5,PCI,High,Sun 1-3 AM,High,High,0.0,329.94,17.93,Prioritize for scheduled patching,Next 7 days,"CVE-2024-1086 is prioritized for Database because it has CVSS 7.8, EPSS 0.45, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a prioritize for scheduled patching.",1.131,1.6,1.1,1.3,1.25,1.25,0.0021507200000000005,5.0,5.01359375,0.18438056077247994,531.57,Monitor and defer with controls,Weekend or low-traffic approved window,"CVE-2024-1086 is prioritized for Database because it combines CVSS 7.8, exploit probability 0.45, High system criticality, and dependency factor 5.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-3116,8.1,High,0.08,Database,RCE when connecting to malicious servers via admin UI.,High,88,5,80,4,PCI,High,Sun 1-3 AM,High,High,0.0,57.02,3.39,Monitor and defer with controls,Next 30 days,"CVE-2024-3116 is prioritized for Database because it has CVSS 8.1, EPSS 0.08, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a monitor and defer with controls.",0.8748,1.6,1.1,1.3,1.25,1.25,0.0020134400000000005,5.0,4.0125,0.16685551214506555,384.91,Monitor and defer with controls,Weekend or low-traffic approved window,"CVE-2024-3116 is prioritized for Database because it combines CVSS 8.1, exploit probability 0.08, High system criticality, and dependency factor 5.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-23897,7.5,High,0.55,Core API,File read vulnerability in automation server affecting Core API code.,Medium,57,4,51,2,,Medium,Sat 3-5 AM,Medium,Medium,0.0,235.12,17.75,Prioritize for scheduled patching,Next 7 days,"CVE-2024-23897 is prioritized for Core API because it has CVSS 7.5, EPSS 0.55, affects a medium-criticality system, carries medium cascade risk, and maps to a prioritize for scheduled patching.",1.1625,1.25,1.1,1.15,1.1,1.1,0.0009013125,4.0,2.006171,0.1588143530603714,265.05,Monitor and defer with controls,Sat 3-5 AM,"CVE-2024-23897 is prioritized for Core API because it combines CVSS 7.5, exploit probability 0.55, Medium system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-29371,7.5,High,0.12,Login Service,Denial of service in the auth layer prevents all user access.,High,78,4,67,3,GDPR,High,Sat 1-3 AM,Low,High,0.0,70.2,4.01,Monitor and defer with controls,Next 30 days,"CVE-2024-29371 is prioritized for Login Service because it has CVSS 7.5, EPSS 0.12, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a monitor and defer with controls.",0.8400000000000001,1.6,1.1,1.3,1.0,1.25,0.0017846400000000003,4.0,3.008375,0.15150324593295525,262.08,Monitor and defer with controls,Weekend or low-traffic approved window,"CVE-2024-29371 is prioritized for Login Service because it combines CVSS 7.5, exploit probability 0.12, High system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-6387,8.1,High,0.75,Core API,"""regreSSHion"" allows unauthenticated RCE as root on Linux servers.",Medium,63,4,51,3,,Medium,Sat 3-5 AM,Medium,Medium,0.0,382.72,28.35,Patch in next maintenance window,Sat 3-5 AM,"CVE-2024-6387 is prioritized for Core API because it has CVSS 8.1, EPSS 0.75, affects a medium-criticality system, carries medium cascade risk, and maps to a patch in next maintenance window.",1.4175,1.25,1.1,1.15,1.1,1.1,0.0009961875,4.0,3.006171,0.1427614580503125,357.21,Monitor and defer with controls,Sat 3-5 AM,"CVE-2024-6387 is prioritized for Core API because it combines CVSS 8.1, exploit probability 0.75, Medium system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2025-14914,7.6,High,0.08,Core API,Remote Code Execution via REST features; allows lateral movement.,Medium,62,4,54,2,,Medium,Sat 3-5 AM,Medium,Medium,0.0,37.7,2.69,Monitor and defer with controls,Next 30 days,"CVE-2025-14914 is prioritized for Core API because it has CVSS 7.6, EPSS 0.08, affects a medium-criticality system, carries medium cascade risk, and maps to a monitor and defer with controls.",0.8208000000000001,1.25,1.1,1.15,1.1,1.1,0.000980375,4.0,2.006534,0.12195868770980817,203.56,Monitor and defer with controls,Sat 3-5 AM,"CVE-2025-14914 is prioritized for Core API because it combines CVSS 7.6, exploit probability 0.08, Medium system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-36124,5.9,Medium,0.45,Core API,Security bypass in messaging service; could leak internal API calls.,Medium,64,4,46,3,,Medium,Sat 3-5 AM,Medium,Medium,0.0,169.92,13.87,Prioritize for scheduled patching,Next 7 days,"CVE-2024-36124 is prioritized for Core API because it has CVSS 5.9, EPSS 0.45, affects a medium-criticality system, carries low cascade risk, and maps to a prioritize for scheduled patching.",0.8555,1.25,1.1,1.15,1.1,1.1,0.001012,4.0,3.005566,0.08753663451969979,219.01,Monitor and defer with controls,Sat 3-5 AM,"CVE-2024-36124 is prioritized for Core API because it combines CVSS 5.9, exploit probability 0.45, Medium system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-5274,8.8,High,0.95,Analytics,Type confusion in V8; affects admins accessing analytics dashboards.,Low,27,2,15,1,,Low,Weekday 11 PM-1 AM,Low,Low,0.0,225.72,28.21,Patch in next maintenance window,Weekday 11 PM-1 AM,"CVE-2024-5274 is prioritized for Analytics because it has CVSS 8.8, EPSS 0.95, affects a low-criticality system, carries low cascade risk, and maps to a patch in next maintenance window.",1.7160000000000002,1.0,1.1,1.0,1.0,1.0,0.000297,2.0,1.0015,0.0773088485817476,92.66,Monitor and defer with controls,Weekday 11 PM-1 AM,"CVE-2024-5274 is prioritized for Analytics because it combines CVSS 8.8, exploit probability 0.95, Low system criticality, and dependency factor 2.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-21626,8.6,High,0.18,Core API,Breakout from container to host; allows full API server takeover.,Medium,58,4,54,4,,Medium,Sat 3-5 AM,Medium,Medium,0.0,89.78,6.19,Monitor and defer with controls,Next 30 days,"CVE-2024-21626 is prioritized for Core API because it has CVSS 8.6, EPSS 0.18, affects a medium-criticality system, carries medium cascade risk, and maps to a monitor and defer with controls.",1.0148,1.25,1.1,1.15,1.1,1.1,0.000917125,4.0,4.006534,0.07058400999312843,235.43,Monitor and defer with controls,Sat 3-5 AM,"CVE-2024-21626 is prioritized for Core API because it combines CVSS 8.6, exploit probability 0.18, Medium system criticality, and dependency factor 4.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-27198,9.8,Critical,0.81,Analytics,Auth bypass in CI/CD tools used for analytics deployments.,Low,26,2,21,3,,Low,Weekday 11 PM-1 AM,Low,Low,0.0,206.39,17.2,Prioritize for scheduled patching,Next 7 days,"CVE-2024-27198 is prioritized for Analytics because it has CVSS 9.8, EPSS 0.81, affects a low-criticality system, carries low cascade risk, and maps to a prioritize for scheduled patching.",1.7738000000000003,1.0,1.1,1.0,1.0,1.0,0.000286,2.0,3.0021,0.02566099934022433,92.24,Monitor and defer with controls,Weekday 11 PM-1 AM,"CVE-2024-27198 is prioritized for Analytics because it combines CVSS 9.8, exploit probability 0.81, Low system criticality, and dependency factor 2.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2025-12635,5.4,Medium,0.02,Analytics,XSS in analytics dashboard; low risk of total system failure.,Low,25,2,21,1,,Low,Weekday 11 PM-1 AM,Low,Low,0.0,2.7,0.25,Monitor and defer with controls,Next 30 days,"CVE-2025-12635 is prioritized for Analytics because it has CVSS 5.4, EPSS 0.02, affects a low-criticality system, carries low cascade risk, and maps to a monitor and defer with controls.",0.5508000000000001,1.0,1.1,1.0,1.0,1.0,0.000275,2.0,1.0021,0.022969716888773455,27.54,Monitor and defer with controls,Weekday 11 PM-1 AM,"CVE-2025-12635 is prioritized for Analytics because it combines CVSS 5.4, exploit probability 0.02, Low system criticality, and dependency factor 2.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2025-10234,6.5,Medium,0.15,Analytics,Logic error in data processing scripts; leak of non-PII data.,Low,29,2,18,3,,Low,Weekday 11 PM-1 AM,Low,Low,0.0,28.28,2.69,Monitor and defer with controls,Next 30 days,"CVE-2025-10234 is prioritized for Analytics because it has CVSS 6.5, EPSS 0.15, affects a low-criticality system, carries low cascade risk, and maps to a monitor and defer with controls.",0.7474999999999999,1.0,1.1,1.0,1.0,1.0,0.000319,2.0,3.0018,0.012062181235754152,43.36,Monitor and defer with controls,Weekday 11 PM-1 AM,"CVE-2025-10234 is prioritized for Analytics because it combines CVSS 6.5, exploit probability 0.15, Low system criticality, and dependency factor 2.00. Recommended action: Monitor and defer with controls.",0.0
CVE-2024-56339,3.7,Low,0.01,Analytics,Low-impact bypass; minimal risk to core business functions.,Low,30,2,18,3,,Low,Weekday 11 PM-1 AM,Low,Low,0.0,1.11,0.11,Monitor and defer with controls,Next 30 days,"CVE-2024-56339 is prioritized for Analytics because it has CVSS 3.7, EPSS 0.01, affects a low-criticality system, carries low cascade risk, and maps to a monitor and defer with controls.",0.3737,1.0,1.1,1.0,1.0,1.0,0.00033,2.0,3.0018,0.006238224603115664,22.42,Monitor and defer with controls,Weekday 11 PM-1 AM,"CVE-2024-56339 is prioritized for Analytics because it combines CVSS 3.7, exploit probability 0.01, Low system criticality, and dependency factor 2.00. Recommended action: Monitor and defer with controls.",0.0
