CVE ID,CVSS Score,Severity Label,Exploit Prob (EPSS),Affected System,Description,Criticality,Business Impact,Dependency Score,Downtime Cost,Effort,Regulatory,Customer Impact,Maintenance Window,Rollback Risk,Downtime Sensitivity,Cascade Risk,Expected Loss,Priority Score,Recommended Action,Recommended Patch Window,Explanation
CVE-2024-3400,10.0,Critical,0.94,Payment API,OS Command injection in firewalls protecting the payment zone.,High,100,5,90,2,PCI,High,Sun 2-4 AM,Medium,High,High,940.0,51.09,Patch immediately,Emergency change window,"CVE-2024-3400 is prioritized for Payment API because it has CVSS 10.0, EPSS 0.94, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately."
CVE-2024-4577,9.8,Critical,0.95,Payment API,RCE on PHP; widely exploited in the wild. High risk for public APIs.,High,97,5,95,3,PCI,High,Sun 2-4 AM,Medium,High,High,903.07,46.08,Patch immediately,Emergency change window,"CVE-2024-4577 is prioritized for Payment API because it has CVSS 9.8, EPSS 0.95, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately."
CVE-2024-8963,9.6,Critical,0.88,Database,Path traversal/RCE in DB admin tools; leads to full data compromise.,High,90,5,85,4,PCI,High,Sun 1-3 AM,High,High,High,760.32,42.71,Patch immediately,Emergency change window,"CVE-2024-8963 is prioritized for Database because it has CVSS 9.6, EPSS 0.88, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately."
CVE-2024-21887,9.1,Critical,0.89,Payment API,High-exploit command injection in web-facing management interfaces.,High,97,5,89,3,PCI,High,Sun 2-4 AM,Medium,High,High,785.6,42.7,Patch immediately,Emergency change window,"CVE-2024-21887 is prioritized for Payment API because it has CVSS 9.1, EPSS 0.89, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a patch immediately."
CVE-2024-1709,10.0,Critical,0.98,Login Service,Auth bypass allows creating admin accounts. Critical for Login service.,High,81,4,75,2,GDPR,High,Sat 1-3 AM,Low,High,Medium,793.8,41.24,Patch immediately,Emergency change window,"CVE-2024-1709 is prioritized for Login Service because it has CVSS 10.0, EPSS 0.98, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately."
CVE-2024-20419,9.9,Critical,0.92,Login Service,Static password bypass; allows any user password to be reset.,High,77,4,69,2,GDPR,High,Sat 1-3 AM,Low,High,Medium,701.32,39.51,Patch immediately,Emergency change window,"CVE-2024-20419 is prioritized for Login Service because it has CVSS 9.9, EPSS 0.92, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately."
CVE-2024-38077,9.8,Critical,0.92,Login Service,Critical RCE in Windows components often used in enterprise auth.,High,81,4,71,3,GDPR,High,Sat 1-3 AM,Low,High,Medium,730.3,39.48,Patch immediately,Emergency change window,"CVE-2024-38077 is prioritized for Login Service because it has CVSS 9.8, EPSS 0.92, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately."
CVE-2023-46604,9.8,Critical,0.91,Core API,OpenWire protocol flaw; frequently used for ransomware delivery.,Medium,56,4,50,2,,Medium,Sat 3-5 AM,Medium,Medium,Medium,499.41,38.42,Patch immediately,Emergency change window,"CVE-2023-46604 is prioritized for Core API because it has CVSS 9.8, EPSS 0.91, affects a medium-criticality system, carries medium cascade risk, and maps to a patch immediately."
CVE-2024-24919,8.6,High,0.88,Login Service,Information disclosure allowing unauthenticated read of system files.,High,77,4,71,1,GDPR,High,Sat 1-3 AM,Low,High,Medium,582.74,32.37,Patch immediately,Emergency change window,"CVE-2024-24919 is prioritized for Login Service because it has CVSS 8.6, EPSS 0.88, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch immediately."
CVE-2023-50164,9.8,Critical,0.62,Core API,Path traversal allows attackers to upload malicious shells.,Medium,65,4,52,2,,Medium,Sat 3-5 AM,Medium,Medium,Medium,394.94,29.25,Patch in next maintenance window,Sat 3-5 AM,"CVE-2023-50164 is prioritized for Core API because it has CVSS 9.8, EPSS 0.62, affects a medium-criticality system, carries medium cascade risk, and maps to a patch in next maintenance window."
CVE-2023-44487,7.5,High,0.65,Payment API,"""Rapid Reset"" DDoS; can cripple the Payment API's availability.",High,102,5,85,2,PCI,High,Sun 2-4 AM,Medium,High,Medium,497.25,28.58,Patch in next maintenance window,Sun 2-4 AM,"CVE-2023-44487 is prioritized for Payment API because it has CVSS 7.5, EPSS 0.65, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a patch in next maintenance window."
CVE-2024-6387,8.1,High,0.75,Core API,"""regreSSHion"" allows unauthenticated RCE as root on Linux servers.",Medium,63,4,51,3,,Medium,Sat 3-5 AM,Medium,Medium,Medium,382.72,28.35,Patch in next maintenance window,Sat 3-5 AM,"CVE-2024-6387 is prioritized for Core API because it has CVSS 8.1, EPSS 0.75, affects a medium-criticality system, carries medium cascade risk, and maps to a patch in next maintenance window."
CVE-2024-5274,8.8,High,0.95,Analytics,Type confusion in V8; affects admins accessing analytics dashboards.,Low,27,2,15,1,,Low,Weekday 11 PM-1 AM,Low,Low,Low,225.72,28.21,Patch in next maintenance window,Weekday 11 PM-1 AM,"CVE-2024-5274 is prioritized for Analytics because it has CVSS 8.8, EPSS 0.95, affects a low-criticality system, carries low cascade risk, and maps to a patch in next maintenance window."
CVE-2024-38112,7.5,High,0.68,Login Service,"Used in ""Mamba"" style attacks to spoof login windows.",High,76,4,74,2,GDPR,High,Sat 1-3 AM,Low,High,Medium,387.6,20.4,Patch in next maintenance window,Sat 1-3 AM,"CVE-2024-38112 is prioritized for Login Service because it has CVSS 7.5, EPSS 0.68, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a patch in next maintenance window."
CVE-2024-1597,9.8,Critical,0.35,Database,SQL injection in widely used Java DB driver for PostgreSQL.,High,90,5,83,3,PCI,High,Sun 1-3 AM,High,High,High,308.7,17.95,Prioritize for scheduled patching,Next 7 days,"CVE-2024-1597 is prioritized for Database because it has CVSS 9.8, EPSS 0.35, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a prioritize for scheduled patching."
CVE-2024-1086,7.8,High,0.45,Database,Use-after-free in netfilter; allows local users to gain root on DB nodes.,High,94,5,87,5,PCI,High,Sun 1-3 AM,High,High,Medium,329.94,17.93,Prioritize for scheduled patching,Next 7 days,"CVE-2024-1086 is prioritized for Database because it has CVSS 7.8, EPSS 0.45, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a prioritize for scheduled patching."
CVE-2024-23897,7.5,High,0.55,Core API,File read vulnerability in automation server affecting Core API code.,Medium,57,4,51,2,,Medium,Sat 3-5 AM,Medium,Medium,Medium,235.12,17.75,Prioritize for scheduled patching,Next 7 days,"CVE-2024-23897 is prioritized for Core API because it has CVSS 7.5, EPSS 0.55, affects a medium-criticality system, carries medium cascade risk, and maps to a prioritize for scheduled patching."
CVE-2024-27198,9.8,Critical,0.81,Analytics,Auth bypass in CI/CD tools used for analytics deployments.,Low,26,2,21,3,,Low,Weekday 11 PM-1 AM,Low,Low,Low,206.39,17.2,Prioritize for scheduled patching,Next 7 days,"CVE-2024-27198 is prioritized for Analytics because it has CVSS 9.8, EPSS 0.81, affects a low-criticality system, carries low cascade risk, and maps to a prioritize for scheduled patching."
CVE-2024-43451,6.5,Medium,0.42,Payment API,Interaction-less credential theft; high risk for internal APIs.,High,104,5,94,4,PCI,High,Sun 2-4 AM,Medium,High,Low,283.92,14.49,Prioritize for scheduled patching,Next 7 days,"CVE-2024-43451 is prioritized for Payment API because it has CVSS 6.5, EPSS 0.42, affects a high-criticality system, carries low cascade risk, has PCI implications, and maps to a prioritize for scheduled patching."
CVE-2024-36124,5.9,Medium,0.45,Core API,Security bypass in messaging service; could leak internal API calls.,Medium,64,4,46,3,,Medium,Sat 3-5 AM,Medium,Medium,Low,169.92,13.87,Prioritize for scheduled patching,Next 7 days,"CVE-2024-36124 is prioritized for Core API because it has CVSS 5.9, EPSS 0.45, affects a medium-criticality system, carries low cascade risk, and maps to a prioritize for scheduled patching."
CVE-2024-40711,9.8,Critical,0.25,Database,RCE in backup agents; critical for database integrity.,High,88,5,80,4,PCI,High,Sun 1-3 AM,High,High,High,215.6,12.83,Prioritize for scheduled patching,Next 7 days,"CVE-2024-40711 is prioritized for Database because it has CVSS 9.8, EPSS 0.25, affects a high-criticality system, carries high cascade risk, has PCI implications, and maps to a prioritize for scheduled patching."
CVE-2024-21626,8.6,High,0.18,Core API,Breakout from container to host; allows full API server takeover.,Medium,58,4,54,4,,Medium,Sat 3-5 AM,Medium,Medium,Medium,89.78,6.19,Monitor and defer with controls,Next 30 days,"CVE-2024-21626 is prioritized for Core API because it has CVSS 8.6, EPSS 0.18, affects a medium-criticality system, carries medium cascade risk, and maps to a monitor and defer with controls."
CVE-2024-29849,9.8,Critical,0.12,Login Service,Unauthenticated RCE in backup/auth service agents.,High,81,4,70,3,GDPR,High,Sat 1-3 AM,Low,High,Medium,95.26,5.22,Monitor and defer with controls,Next 30 days,"CVE-2024-29849 is prioritized for Login Service because it has CVSS 9.8, EPSS 0.12, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a monitor and defer with controls."
CVE-2024-29371,7.5,High,0.12,Login Service,Denial of service in the auth layer prevents all user access.,High,78,4,67,3,GDPR,High,Sat 1-3 AM,Low,High,Medium,70.2,4.01,Monitor and defer with controls,Next 30 days,"CVE-2024-29371 is prioritized for Login Service because it has CVSS 7.5, EPSS 0.12, affects a high-criticality system, carries medium cascade risk, has GDPR implications, and maps to a monitor and defer with controls."
CVE-2024-3116,8.1,High,0.08,Database,RCE when connecting to malicious servers via admin UI.,High,88,5,80,4,PCI,High,Sun 1-3 AM,High,High,Medium,57.02,3.39,Monitor and defer with controls,Next 30 days,"CVE-2024-3116 is prioritized for Database because it has CVSS 8.1, EPSS 0.08, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a monitor and defer with controls."
CVE-2025-14914,7.6,High,0.08,Core API,Remote Code Execution via REST features; allows lateral movement.,Medium,62,4,54,2,,Medium,Sat 3-5 AM,Medium,Medium,Medium,37.7,2.69,Monitor and defer with controls,Next 30 days,"CVE-2025-14914 is prioritized for Core API because it has CVSS 7.6, EPSS 0.08, affects a medium-criticality system, carries medium cascade risk, and maps to a monitor and defer with controls."
CVE-2025-10234,6.5,Medium,0.15,Analytics,Logic error in data processing scripts; leak of non-PII data.,Low,29,2,18,3,,Low,Weekday 11 PM-1 AM,Low,Low,Low,28.28,2.69,Monitor and defer with controls,Next 30 days,"CVE-2025-10234 is prioritized for Analytics because it has CVSS 6.5, EPSS 0.15, affects a low-criticality system, carries low cascade risk, and maps to a monitor and defer with controls."
CVE-2024-22354,7.0,High,0.05,Database,XXE injection in database connectors; could expose local files.,High,93,5,86,3,PCI,High,Sun 1-3 AM,High,High,Medium,32.55,1.83,Monitor and defer with controls,Next 30 days,"CVE-2024-22354 is prioritized for Database because it has CVSS 7.0, EPSS 0.05, affects a high-criticality system, carries medium cascade risk, has PCI implications, and maps to a monitor and defer with controls."
CVE-2025-12635,5.4,Medium,0.02,Analytics,XSS in analytics dashboard; low risk of total system failure.,Low,25,2,21,1,,Low,Weekday 11 PM-1 AM,Low,Low,Low,2.7,0.25,Monitor and defer with controls,Next 30 days,"CVE-2025-12635 is prioritized for Analytics because it has CVSS 5.4, EPSS 0.02, affects a low-criticality system, carries low cascade risk, and maps to a monitor and defer with controls."
CVE-2024-56339,3.7,Low,0.01,Analytics,Low-impact bypass; minimal risk to core business functions.,Low,30,2,18,3,,Low,Weekday 11 PM-1 AM,Low,Low,Low,1.11,0.11,Monitor and defer with controls,Next 30 days,"CVE-2024-56339 is prioritized for Analytics because it has CVSS 3.7, EPSS 0.01, affects a low-criticality system, carries low cascade risk, and maps to a monitor and defer with controls."
